spp	sqi	age	biom.fix
13	2	3	38.9174109
1	1	4	43.60609011
1	2	4	55.1705866
1	3	4	67.17110166
2	1	4	28.9157737
2	2	4	35.81274698
2	3	4	42.65389851
3	1	4	28.40644055
3	2	4	35.46067078
4	1	4	29.15578309
4	2	4	36.16610685
4	3	4	42.68420531
5	1	4	40.99924719
5	2	4	53.08712691
6	1	4	28.57112341
6	2	4	35.82901847
6	3	4	43.94817441
7	1	4	38.90067224
7	2	4	48.62769527
8	1	4	36.37615808
8	2	4	44.78383717
8	3	4	53.93538443
9	1	4	35.78258209
9	2	4	42.87747226
9	3	4	51.04008823
10	1	4	35.08959054
10	2	4	44.01008929
11	1	4	35.62088202
11	2	4	43.67302199
12	1	4	38.48299905
12	2	4	47.96642082
13	1	4	40.63089384
13	2	4	48.67812589
1	1	5	51.75833462
1	2	5	65.65778223
1	3	5	80.11012137
2	1	5	34.87550017
2	2	5	43.08821494
2	3	5	51.22414373
3	1	5	34.11811813
3	2	5	42.57709937
4	1	5	35.23806504
4	2	5	43.62601386
4	3	5	51.27694704
5	1	5	49.34575476
5	2	5	64.35310167
6	1	5	34.36500985
6	2	5	43.12305874
6	3	5	53.14463809
7	1	5	46.72790901
7	2	5	58.40916842
8	1	5	43.58442815
8	2	5	53.46552841
8	3	5	64.43163048
9	1	5	42.72467404
9	2	5	50.68202595
9	3	5	60.19587712
10	1	5	41.69112178
10	2	5	52.28263681
11	1	5	42.48434517
11	2	5	51.8455518
12	1	5	46.10182103
12	2	5	57.42181318
13	1	5	49.30415369
13	2	5	58.41657281
1	1	6	59.72592755
1	2	6	75.95385027
1	3	6	92.81681696
2	1	6	40.88758836
2	2	6	50.38954684
2	3	6	59.79391655
3	1	6	39.83693251
3	2	6	49.69814471
4	1	6	41.39857779
4	2	6	51.15312207
4	3	6	59.87811968
5	1	6	57.71286945
5	2	6	75.75014952
6	1	6	40.18233615
6	2	6	50.45306913
6	3	6	62.45083925
7	1	6	54.56522279
7	2	6	68.20060693
8	1	6	50.75780915
8	2	6	62.04696798
8	3	6	74.81205381
9	1	6	49.59677133
9	2	6	58.25377908
9	3	6	69.02938225
10	1	6	48.15819429
10	2	6	60.36205256
11	1	6	49.26338773
11	2	6	59.84245881
12	1	6	53.6894691
12	2	6	66.82498493
13	1	6	58.14225055
13	2	6	68.11541125
1	1	7	67.51118826
1	2	7	86.05585444
1	3	7	105.2660314
2	1	7	46.94901002
2	2	7	57.71151312
2	3	7	68.35734154
3	1	7	45.56158522
3	2	7	56.82230399
4	1	7	47.63462194
4	2	7	58.74352448
4	3	7	68.48329486
5	1	7	66.08805609
5	2	7	87.23675062
6	1	7	46.02171816
6	2	7	57.81601117
6	3	7	71.8543122
7	1	7	62.41017119
7	2	7	77.99824706
8	1	7	57.89108629
8	2	7	70.52486927
8	3	7	85.06926414
9	1	7	56.39950054
9	2	7	65.60200434
9	3	7	77.55194799
10	1	7	54.49270157
10	2	7	68.2429116
11	1	7	55.95904806
11	2	7	67.66842866
12	1	7	61.24376319
12	2	7	76.17337211
13	1	7	67.13593581
13	2	7	77.75753678
1	1	8	75.11651024
1	2	8	95.96127066
1	3	8	117.4347967
2	1	8	53.05662315
2	2	8	65.04881853
2	3	8	76.90855466
3	1	8	51.29077202
3	2	8	63.94807132
4	1	8	53.94332535
4	2	8	66.39316341
4	3	8	77.08803253
5	1	8	74.45870268
5	2	8	98.76980328
6	1	8	51.88174908
6	2	8	65.20878731
6	3	8	81.34199878
7	1	8	70.26030111
7	2	8	87.79831329
8	1	8	64.97915813
8	2	8	78.89614268
8	3	8	95.19625659
9	1	8	63.13348428
9	2	8	72.73549326
9	3	8	85.77451942
10	1	8	60.69655007
10	2	8	75.92063602
11	1	8	62.57235177
11	2	8	75.3279882
12	1	8	68.76256219
12	2	8	85.46447425
13	1	8	76.27511862
13	2	8	87.32620152
1	1	9	82.54435445
1	2	9	105.6679791
1	3	9	129.3024693
2	1	9	59.20717768
2	2	9	72.39611723
2	3	9	85.44171928
3	1	9	57.02318408
3	2	9	71.07393897
4	1	9	60.32164627
4	2	9	74.09783792
4	3	9	85.68789011
5	1	9	82.81219607
5	2	9	110.3052514
6	1	9	57.76100075
6	2	9	72.62824588
6	3	9	90.90031449
7	1	9	78.11315182
7	2	9	97.59702422
8	1	9	72.01705078
8	2	9	87.15789781
8	3	9	105.1864271
9	1	9	69.79934125
9	2	9	79.66258716
9	3	9	93.70765634
10	1	9	66.77165698
10	2	9	83.39147984
11	1	9	69.10431184
11	2	9	82.82551216
12	1	9	76.24376624
12	2	9	94.69585677
13	1	9	85.54889523
13	2	9	96.80512984
